what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.designer,2.5.0.r36x201112291029,"com.google.gdt.eclipse.designer",1354699755843
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.5.0.r36x201112291029,"com.google.gdt.eclipse.designer.UiBinder",1354699755852
started,bundle,com.google.gdt.eclipse.login,2.5.1.v201201120043-rel-r36,"com.google.gdt.eclipse.login",1354699755853
started,bundle,com.google.gdt.eclipse.managedapis,2.5.1.v201201120043-rel-r36,"com.google.gdt.eclipse.managedapis",1354699755854
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.1.v201201120043-rel-r36,"com.google.gdt.eclipse.suite.ext",1354699755854
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1354699755865
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1354699755867
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1354699755868
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1354699755869
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1354699755871
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1354699755897
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1354699755898
started,bundle,org.eclipse.wb.core,1.2.0.r36x201112290923,"org.eclipse.wb.core",1354699755914
started,bundle,org.eclipse.wb.core.lib,1.2.0.r36x201112290923,"org.eclipse.wb.core.lib",1354699755949
os,sysinfo,,,"win32",1354699755955
arch,sysinfo,,,"x86",1354699755955
ws,sysinfo,,,"win32",1354699755955
locale,sysinfo,,,"en_US",1354699755955
processors,sysinfo,,,"4",1354699755955
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1354699755955
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1354699755955
java.specification.name,sysinfo,,,"Java Platform API Specification",1354699755955
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1354699755955
java.specification.version,sysinfo,,,"1.6",1354699755955
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1354699755955
java.version,sysinfo,,,"1.6.0_26",1354699755955
java.vm.info,sysinfo,,,"mixed mode",1354699755955
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1354699755955
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1354699755955
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1354699755955
java.vm.specification.version,sysinfo,,,"1.0",1354699755955
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1354699755955
java.vm.version,sysinfo,,,"20.1-b02",1354699755955
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1354699757316
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1354699759576
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1354700144480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1354700144499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1354700304756
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1354700304992
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1354700306510
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1354700306786
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1354700307930
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1354700313429
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1354700335850
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1354700336288
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1354700336716
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1354700336890
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1354700337144
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1354700337553
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1354700337798
