TestCaseID							TestStep							BDD_Step							Status							Remarks

TestSearchGoldenRecords							openbrowser							Given I Open the browser							pass							

LoginToHIWithoutSecurity							enterdata														fail							null

LoginToHIWithoutSecurity							enterdata														fail							null

LoginToHIWithoutSecurity							click														fail							null

TestSearchGoldenRecords							enterdata							When I enter {data} in Search Input							fail							null

TestSearchGoldenRecords							click							And I Press submit button							fail							null

TestSearchGoldenRecords							verifypageproperty							Then the Url should be like {data}							fail							null

TestSearchGoldenRecords							verifyTextpresent							And {data} should be present on the page							fail							null

TestMoveToNew							openbrowser							Given I Open HI Application.							pass							

LoginToHIWithoutSecurity							enterdata														fail							null

LoginToHIWithoutSecurity							enterdata														fail							null

LoginToHIWithoutSecurity							click														fail							null

TestMoveToNew							navigateUrl							When I Navigate to Move page.							fail							null

TestMoveToNew							verifytextpresent							Then I Verify control is in Move page.							fail							null

TestMoveToNew							click							And I Select Record Type as Person.							fail							null

TestMoveToNew							enterdata							And I Enter KeyWord for search							fail							null

TestMoveToNew							click														fail							null

TestMoveToNew							getObjectProperty							Then I Populate SourceIDs							fail							null

TestMoveToNew							getObjectProperty														fail							null

TestMoveToNew							check							And I Select SR to move.							fail							null

TestMoveToNew							check														fail							null

TestMoveToNew							click							When I Move To New GR							fail							null

TestMoveToNew							verifyobjectpresent							And I Verify SR1 ID							fail							null

TestMoveToNew							verifyobjectpresent							And I verify SR2 ID							fail							null

TestMoveToNew							enterdata							And I Enter Comments.							fail							null

TestMoveToNew							click							And I saved the action							fail							null

TestMoveToNew							click							And I click on Audit panel							fail							null

TestMoveToNew							getObjectProperty							When I stored the GRId1							fail							null

TestMoveToNew							click							And I click on the GR ID 1							fail							null

TestMoveToNew							verifyObjectPresent							And I check for the ShowAll Test Object							fail							null

TestMoveToNew							verifytextpresent							And I verify first Golden record is closed							fail							null

TestMoveToNew							verifytextpresent							And I verify the Golden Record Id							fail							null

TestMoveToNew							closebrowser							Then I close all the browser.							fail							null

TestMoveToExisting							openbrowser							Given I Open HI Application.							pass							

LoginToHIWithoutSecurity							enterdata														fail							null

LoginToHIWithoutSecurity							enterdata														fail							null

LoginToHIWithoutSecurity							click														fail							null

TestMoveToExisting							navigateUrl							And I Navigate to Move page.							fail							null

TestMoveToExisting							verifytextpresent							Then I Verify control is in Move page.							fail							null

TestMoveToExisting							click							And I Select Record Type as Person.							fail							null

TestMoveToExisting							enterdata							And I Enter KeyWord for search							fail							null

TestMoveToExisting							click														fail							null

TestMoveToExisting							getObjectProperty							And I Populate SourceIDs							fail							null

TestMoveToExisting							getObjectProperty														fail							null

TestMoveToExisting							check							And I Select SR to move.							fail							null

TestMoveToExisting							check														fail							null

TestMoveToExisting							click							Then I Move To Existing GR							fail							null

TestMoveToExisting							click							And I Click on drop down image							fail							null

TestMoveToExisting							verifytextpresent							Then I Verify controls on Move to Existing Page							fail							null

TestMoveToExisting							enterdata														fail							null

